# num_vertices: 51842
# num_edges: 426124
# min_x: -71.6522
# min_y: -122.577
# min_z: -30.2009
# Offset added
# min_x: 0
# min_y: 0
# min_z: 0
# min vertex degree: 6
# max vertex degree: 1246
# Vertices: 51842
# Add offset (x y z) to get original positions: (-71.652210 -122.577140 -30.200880)
# Position (x y z)	Area
27.020740 85.649250 48.924530 	lh.superiortemporal
25.850730 88.279210 49.745190 	lh.superiortemporal
15.741130 92.687290 49.700330 	lh.superiortemporal
16.315120 93.304920 49.471750 	lh.superiortemporal
14.366880 67.183800 54.216830 	lh.bankssts
16.127400 68.812430 54.284040 	lh.bankssts
14.613290 68.696660 54.529290 	lh.bankssts
8.420120 62.284910 65.792720 	lh.bankssts
11.232500 61.893450 63.756750 	lh.bankssts
14.116720 61.567630 61.024030 	lh.bankssts
9.667020 62.143000 63.963530 	lh.bankssts
11.628140 61.485660 62.453440 	lh.bankssts
22.590060 67.565400 33.088780 	lh.fusiform
21.596980 61.164210 35.697880 	lh.inferiortemporal
9.135600 67.333970 47.464760 	lh.middletemporal
8.901840 72.269020 36.165560 	lh.middletemporal
61.426660 75.597910 50.095910 	lh.parahippocampal
25.844040 67.075720 69.000170 	lh.superiortemporal
27.452800 72.289210 66.513440 	lh.superiortemporal
15.894800 61.893140 55.198690 	lh.bankssts
15.775840 63.243210 53.829700 	lh.bankssts
17.393780 61.945770 56.813220 	lh.bankssts
14.012790 61.553120 56.250830 	lh.bankssts
14.366260 64.447510 53.980490 	lh.bankssts
11.583570 70.316740 53.895440 	lh.bankssts
12.450490 69.867200 53.976130 	lh.bankssts
16.705990 81.637490 62.099070 	lh.superiortemporal
14.147920 81.692910 61.709120 	lh.superiortemporal
8.785400 69.910700 52.592560 	lh.middletemporal
19.594880 66.274790 53.047620 	lh.bankssts
16.040170 66.871720 54.038860 	lh.bankssts
20.451310 69.338130 53.308230 	lh.bankssts
12.969670 75.879630 51.537080 	lh.bankssts
9.517840 76.288120 51.180290 	lh.bankssts
23.006650 53.695980 43.857870 	lh.inferiortemporal
24.497470 55.351950 42.134850 	lh.inferiortemporal
10.484850 61.965220 36.043970 	lh.inferiortemporal
21.976250 61.012360 36.401380 	lh.inferiortemporal
6.598580 71.906190 35.506600 	lh.inferiortemporal
10.523260 70.896500 49.468250 	lh.middletemporal
9.012100 70.219060 48.999130 	lh.middletemporal
4.791960 78.949720 48.419080 	lh.superiortemporal
6.431190 79.090090 48.431780 	lh.superiortemporal
23.810680 79.997700 58.471210 	lh.superiortemporal
5.525740 77.496420 50.377270 	lh.superiortemporal
4.368160 78.689450 49.889650 	lh.superiortemporal
6.663250 78.208130 49.338520 	lh.superiortemporal
14.315870 83.692950 41.779200 	lh.superiortemporal
17.429960 69.905590 53.991390 	lh.bankssts
14.028250 69.741650 54.451550 	lh.bankssts
20.207980 68.690800 53.274960 	lh.bankssts
8.354790 63.739170 45.879470 	lh.middletemporal
9.796140 80.293900 45.286840 	lh.middletemporal
17.508860 78.477300 44.007160 	lh.middletemporal
17.598490 78.369140 45.577150 	lh.superiortemporal
5.560910 63.269490 66.174770 	lh.bankssts
8.450140 62.381880 64.541240 	lh.bankssts
5.237150 63.389690 64.650710 	lh.bankssts
4.308960 64.138780 66.496780 	lh.superiortemporal
7.166850 62.572960 63.639680 	lh.bankssts
5.940420 63.144060 63.522750 	lh.bankssts
3.985190 64.260060 64.972710 	lh.superiortemporal
9.442060 61.927840 62.615590 	lh.bankssts
7.244110 62.488640 61.951940 	lh.bankssts
6.017680 63.059750 61.835010 	lh.bankssts
10.555290 61.568350 61.888970 	lh.bankssts
12.612360 61.150330 61.204390 	lh.bankssts
10.424850 61.350240 60.491960 	lh.bankssts
8.302440 62.082400 61.505570 	lh.bankssts
8.855210 61.780980 59.987720 	lh.bankssts
5.401250 63.417310 61.086390 	lh.bankssts
5.688640 63.696050 59.072300 	lh.bankssts
4.025260 64.621050 61.420860 	lh.superiortemporal
15.181900 61.421240 59.195330 	lh.bankssts
11.598590 61.098480 59.893430 	lh.bankssts
11.796050 61.095150 58.394800 	lh.bankssts
8.742550 62.077760 58.465090 	lh.bankssts
6.712680 63.873820 57.669220 	lh.bankssts
4.564820 64.738680 58.691000 	lh.bankssts
13.873960 61.001710 57.877050 	lh.bankssts
